2021-10-21 10:25:23,736 TrackOrderPageTest.java INFO  [main] base.CommonBase 71 - Validating Loginpage Title
2021-10-21 10:25:23,741 TrackOrderPageTest.java INFO  [main] base.CommonBase 74 - Testcase Passed!
2021-10-21 10:25:24,279 TrackOrderPageTest.java INFO  [main] base.CommonBase 81 - Validating Tracking order operation by providing correct emailid and orderid
2021-10-21 10:25:24,279 TrackOrderPageTest.java INFO  [main] base.CommonBase 82 - Order details: Orderid: 9.0 , Emailid: sk@g.com
2021-10-21 10:25:29,546 TrackOrderPageTest.java INFO  [main] base.CommonBase 85 - Testcase Passed!
2021-10-21 10:25:29,574 TrackOrderPageTest.java INFO  [main] base.CommonBase 93 - Validating Tracking order operation by providing incorrect emailid or orderid
2021-10-21 10:25:29,574 TrackOrderPageTest.java INFO  [main] base.CommonBase 94 - Order details: Orderid: {0} , Emailid: {1}
2021-10-21 10:25:29,881 TrackOrderPageTest.java INFO  [main] base.CommonBase 97 - Testcase Passed!
2021-10-21 10:25:29,882 TrackOrderPageTest.java INFO  [main] base.CommonBase 93 - Validating Tracking order operation by providing incorrect emailid or orderid
2021-10-21 10:25:29,883 TrackOrderPageTest.java INFO  [main] base.CommonBase 94 - Order details: Orderid: {0} , Emailid: {1}
2021-10-21 10:25:30,181 TrackOrderPageTest.java INFO  [main] base.CommonBase 97 - Testcase Passed!
2021-10-21 10:25:30,182 TrackOrderPageTest.java INFO  [main] base.CommonBase 93 - Validating Tracking order operation by providing incorrect emailid or orderid
2021-10-21 10:25:30,182 TrackOrderPageTest.java INFO  [main] base.CommonBase 94 - Order details: Orderid: {0} , Emailid: {1}
2021-10-21 10:25:30,534 TrackOrderPageTest.java INFO  [main] base.CommonBase 97 - Testcase Passed!
2021-10-21 10:25:30,535 TrackOrderPageTest.java INFO  [main] base.CommonBase 102 - Closing Browser
